"","symbol","date","close","volume","name","gics_sector","gics_sub_industry","headquarters","key_people","number_of_employees"
"95","AAPL",2021-11-16,151,59256200,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"96","AAPL",2021-11-17,153.490005,88807000,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"97","AAPL",2021-11-18,157.869995,137827700,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"98","AAPL",2021-11-19,160.550003,117305600,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"99","AAPL",2021-11-22,161.020004,117467900,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"100","AAPL",2021-11-23,161.410004,96041900,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"101","AAPL",2021-11-24,161.940002,69463600,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"102","AAPL",2021-11-26,156.809998,76959800,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"103","AAPL",2021-11-29,160.240005,88748200,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"104","AAPL",2021-11-30,165.300003,174048100,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"105","AAPL",2021-12-01,164.770004,152052500,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"106","AAPL",2021-12-02,163.759995,136739200,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
"107","AAPL",2021-12-03,161.839996,118023100,"Apple","Information Technology","Technology Hardware, Storage & Peripherals","1 Apple Park Way, Cupertino, California, U.S.","Tim Cook (CEO)Arthur D. Levinson (chairman)Jeff Williams (COO)Luca Maestri (CFO)","154,000 (2021)"
